"Atomic Number","AtomicSymbol","Element","OrbitalGroup","Protons","Neutrons","GroupNumber","Period","SlotNumber","SlotOrder","CanBind","AlphaType","Slot Layout","SL1","SL2","SL3","SL4",
1,"H","hydrogen "," ",1,0,1,1,1,1,"Y",1,"Slot Layout",,,,
1,"H","hydrogen "," ",1,0,1,1,2,1,"N",0,,," | 14",,
1,"H","hydrogen "," ",1,0,1,1,3,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,4,1,"N",0,,,"—4","  | 9"," --13"
1,"H","hydrogen "," ",1,0,1,1,5,1,"N",0,,"      -18","  | 2","    - 16",
1,"H","hydrogen "," ",1,0,1,1,6,1,"N",0," --10","  | 6","—1","  | 7"," --12"
1,"H","hydrogen "," ",1,0,1,1,7,1,"N",0,,"      -17","  |  3","    - 19",
1,"H","hydrogen "," ",1,0,1,1,8,1,"N",0," --11","  | 8","—5",,
1,"H","hydrogen "," ",1,0,1,1,9,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,10,1,"N",0,,," | 15",,
1,"H","hydrogen "," ",1,0,1,1,11,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,12,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,13,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,14,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,15,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,16,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,17,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,18,1,"N",0,,,,,
1,"H","hydrogen "," ",1,0,1,1,19,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,1,1,"N",2,"Slot Layout",,,,
2,"He","helium "," ",2,2,18,1,2,1,"N",0,,," | 14",,
2,"He","helium "," ",2,2,18,1,3,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,4,1,"N",0,,,"—4","  | 9"," --13"
2,"He","helium "," ",2,2,18,1,5,1,"N",0,,"      -18","  | 2","    - 16",
2,"He","helium "," ",2,2,18,1,6,1,"N",0," --10","  | 6","—1","  | 7"," --12"
2,"He","helium "," ",2,2,18,1,7,1,"N",0,,"      -17","  |  3","    - 19",
2,"He","helium "," ",2,2,18,1,8,1,"N",0," --11","  | 8","—5",,
2,"He","helium "," ",2,2,18,1,9,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,10,1,"N",0,,," | 15",,
2,"He","helium "," ",2,2,18,1,11,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,12,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,13,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,14,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,15,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,16,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,17,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,18,1,"N",0,,,,,
2,"He","helium "," ",2,2,18,1,19,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,1,1,"N",2,"Slot Layout",,,,
3,"Li","lithium ","[He]",3,4,1,2,2,1,"N",1,,," | 14",,
3,"Li","lithium ","[He]",3,4,1,2,3,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,4,1,"N",0,,,"—4","  | 9"," --13"
3,"Li","lithium ","[He]",3,4,1,2,5,1,"N",0,,"      -18","  | 2","    - 16",
3,"Li","lithium ","[He]",3,4,1,2,6,1,"N",0," --10","  | 6","—1","  | 7"," --12"
3,"Li","lithium ","[He]",3,4,1,2,7,1,"N",0,,"      -17","   | 3","    - 19",
3,"Li","lithium ","[He]",3,4,1,2,8,1,"N",0," --11","  | 8","—5",,
3,"Li","lithium ","[He]",3,4,1,2,9,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,10,1,"N",0,,," | 15",,
3,"Li","lithium ","[He]",3,4,1,2,11,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,12,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,13,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,14,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,15,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,16,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,17,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,18,1,"N",0,,,,,
3,"Li","lithium ","[He]",3,4,1,2,19,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,1,1,"Y",1,"Slot Layout",,,,
4,"Be","beryllium ","[He]",4,5,2,2,2,1,"N",0,,," | 14",,
4,"Be","beryllium ","[He]",4,5,2,2,3,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,4,1,"Y",1,,,"—4","  | 9"," --13"
4,"Be","beryllium ","[He]",4,5,2,2,5,1,"Y",1,,"      -18","  | 2","    - 16",
4,"Be","beryllium ","[He]",4,5,2,2,5,1,"Y",1," --10","  | 6","—1","  | 7"," --12"
4,"Be","beryllium ","[He]",4,5,2,2,6,1,"N",0,,"      -17","  |  3","    - 19",
4,"Be","beryllium ","[He]",4,5,2,2,7,1,"N",0," --11","  | 8","—5",,
4,"Be","beryllium ","[He]",4,5,2,2,8,1,"N",0,,,"—5",,
4,"Be","beryllium ","[He]",4,5,2,2,9,1,"N",0,,," | 15",,
4,"Be","beryllium ","[He]",4,5,2,2,10,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,11,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,12,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,13,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,14,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,15,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,16,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,17,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,18,1,"N",0,,,,,
4,"Be","beryllium ","[He]",4,5,2,2,19,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,1,1,"Y",2,"Slot Layout",,,,
5,"B","boron ","[He]",5,6,13,2,1,2,"N",0,,," | 14",,
5,"B","boron ","[He]",5,6,13,2,2,1,"Y",1,,,,,
5,"B","boron ","[He]",5,6,13,2,3,1,"Y",1,,,"—4","  | 9"," --13"
5,"B","boron ","[He]",5,6,13,2,3,1,"Y",1,,"      -18","  | 2","    - 16",
5,"B","boron ","[He]",5,6,13,2,4,1,"N",0," --10","  | 6","—1","  | 7"," --12"
5,"B","boron ","[He]",5,6,13,2,5,1,"N",0,,"      -17","  ||  3  ","    - 19",
5,"B","boron ","[He]",5,6,13,2,6,1,"N",0," --11","  | 8","—5",,
5,"B","boron ","[He]",5,6,13,2,7,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,8,1,"N",0,,," | 15",,
5,"B","boron ","[He]",5,6,13,2,9,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,10,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,11,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,12,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,13,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,14,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,15,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,16,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,17,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,18,1,"N",0,,,,,
5,"B","boron ","[He]",5,6,13,2,19,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,1,1,"N",2,"Slot Layout",,,,
6,"C","carbon ","[He]",6,6,14,2,1,2,"N",2,,," | 14",,
6,"C","carbon ","[He]",6,6,14,2,2,1,"Y",1,,,,,
6,"C","carbon ","[He]",6,6,14,2,3,1,"Y",1,,,"—4","  | 9"," --13"
6,"C","carbon ","[He]",6,6,14,2,4,1,"N",0,,"      -18","  | 2","    - 16",
6,"C","carbon ","[He]",6,6,14,2,5,1,"N",0," --10","  | 6"," = 1","  | 7"," --12"
6,"C","carbon ","[He]",6,6,14,2,6,1,"Y",0,,"      -17","  |  3  ","    - 19",
6,"C","carbon ","[He]",6,6,14,2,7,1,"Y",0," --11","  | 8","—5",,
6,"C","carbon ","[He]",6,6,14,2,8,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,9,1,"N",0,,," | 15",,
6,"C","carbon ","[He]",6,6,14,2,10,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,11,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,12,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,13,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,14,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,15,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,16,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,17,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,18,1,"N",0,,,,,
6,"C","carbon ","[He]",6,6,14,2,19,1,"N",0,,,,,
7,"N","nitrogen ","[He]",7,7,15,2,1,1,"Y",2,"Slot Layout",,,,
7,"N","nitrogen ","[He]",7,7,15,2,1,2,,2,,," | 14",,
7,"N","nitrogen ","[He]",7,7,15,2,1,3,"Y",2,,,,,
7,"N","nitrogen ","[He]",7,7,15,2,2,1,"Y",1,,,"—4","  | 9"," --13"
7,"N","nitrogen ","[He]",7,7,15,2,3,1,"N",0,,"      -18","  | 2","    - 16",
7,"N","nitrogen ","[He]",7,7,15,2,4,1,"N",0," --10","  | 6"," E 1","  | 7"," --12"
7,"N","nitrogen ","[He]",7,7,15,2,5,1,"N",0,,"      -17","  |  3","    - 19",
7,"N","nitrogen ","[He]",7,7,15,2,6,1,"N",0," --11","  | 8","—5",,
7,"N","nitrogen ","[He]",7,7,15,2,7,1,"N",0,,,,,
7,"N","nitrogen ","[He]",7,7,15,2,8,1,"N",0,,," | 15  ",,
